#layer Sr(Init) Ti(Init) O(Init) Sr(Relaxed) Ti(Relaxed) O(Relaxed_above_Ti) #O(Relaxed_below_Ti)
1 0.025235 0.000000 0.025235 0.024393 0.001220 0.024434  --
2 0.075706 0.050471 0.075706 0.075853 0.051195 0.075076  0.024434  
3 0.126177 0.100942 0.126177 0.126663 0.101707 0.125744  0.075076  
4 0.176648 0.151413 0.176648 0.177458 0.152774 0.176727  0.125744  
